Brand,Desc,DetailedDesc,DiscountPrice,OriginalPrice,DiscountPercent,Images,ZoomedImages
Roadster,Printed Round Neck Pure Cotton T-shirt,Roadster Men White Printed Round Neck Pure Cotton T-shirt,Rs. 185,Rs. 599,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2499214/2018/5/23/3569f170-1967-46ab-9ae0-6442737f609d1527063527383-Roadster-Men-White-Printed-Round-Neck-T-shirt-4261527063525890-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/2499214/2018/5/23/3569f170-1967-46ab-9ae0-6442737f609d1527063527383-Roadster-Men-White-Printed-Round-Neck-T-shirt-4261527063525890-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2499214/2018/5/23/3569f170-1967-46ab-9ae0-6442737f609d1527063527383-Roadster-Men-White-Printed-Round-Neck-T-shirt-4261527063525890-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/2499214/2018/5/23/3569f170-1967-46ab-9ae0-6442737f609d1527063527383-Roadster-Men-White-Printed-Round-Neck-T-shirt-4261527063525890-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/2499214/2018/5/23/3569f170-1967-46ab-9ae0-6442737f609d1527063527383-Roadster-Men-White-Printed-Round-Neck-T-shirt-4261527063525890-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/2499214/2018/5/23/3569f170-1967-46ab-9ae0-6442737f609d1527063527383-Roadster-Men-White-Printed-Round-Neck-T-shirt-4261527063525890-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/2499214/2018/5/23/3569f170-1967-46ab-9ae0-6442737f609d1527063527383-Roadster-Men-White-Printed-Round-Neck-T-shirt-4261527063525890-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/2499214/2018/5/23/3569f170-1967-46ab-9ae0-6442737f609d1527063527383-Roadster-Men-White-Printed-Round-Neck-T-shirt-4261527063525890-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/2499214/2018/5/23/3569f170-1967-46ab-9ae0-6442737f609d1527063527383-Roadster-Men-White-Printed-Round-Neck-T-shirt-4261527063525890-1.jpg 2.8x"
HRX by Hrithik Roshan,Running Bio-Wash Tshirt,HRX by Hrithik Roshan Men Olive Green Solid Bio-Wash Running Tshirt,Rs. 300,Rs. 699,(57% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11999496/2020/7/9/28147c07-9cec-4754-9226-ade4fc7908631594292867204-HRX-by-Hrithik-Roshan-Men-Tshirts-1821594292865503-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/11999496/2020/7/9/28147c07-9cec-4754-9226-ade4fc7908631594292867204-HRX-by-Hrithik-Roshan-Men-Tshirts-1821594292865503-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/11999496/2020/7/9/28147c07-9cec-4754-9226-ade4fc7908631594292867204-HRX-by-Hrithik-Roshan-Men-Tshirts-1821594292865503-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/11999496/2020/7/9/28147c07-9cec-4754-9226-ade4fc7908631594292867204-HRX-by-Hrithik-Roshan-Men-Tshirts-1821594292865503-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/11999496/2020/7/9/28147c07-9cec-4754-9226-ade4fc7908631594292867204-HRX-by-Hrithik-Roshan-Men-Tshirts-1821594292865503-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/11999496/2020/7/9/28147c07-9cec-4754-9226-ade4fc7908631594292867204-HRX-by-Hrithik-Roshan-Men-Tshirts-1821594292865503-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/11999496/2020/7/9/28147c07-9cec-4754-9226-ade4fc7908631594292867204-HRX-by-Hrithik-Roshan-Men-Tshirts-1821594292865503-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/11999496/2020/7/9/28147c07-9cec-4754-9226-ade4fc7908631594292867204-HRX-by-Hrithik-Roshan-Men-Tshirts-1821594292865503-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/11999496/2020/7/9/28147c07-9cec-4754-9226-ade4fc7908631594292867204-HRX-by-Hrithik-Roshan-Men-Tshirts-1821594292865503-1.jpg 2.8x"
Kook N Keech,Striped Pure Cotton Relaxed T-shirt,Kook N Keech Men White  Teal Blue Striped Round Neck Pure Cotton Relaxed T-shirt,Rs. 516,Rs. 1099,(53% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12956244/2021/4/20/668b68ba-0250-4fcd-a8a0-49bbec71f3591618915179312-Kook-N-Keech-Men-Tshirts-971618915178743-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/12956244/2021/4/20/668b68ba-0250-4fcd-a8a0-49bbec71f3591618915179312-Kook-N-Keech-Men-Tshirts-971618915178743-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/12956244/2021/4/20/668b68ba-0250-4fcd-a8a0-49bbec71f3591618915179312-Kook-N-Keech-Men-Tshirts-971618915178743-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/12956244/2021/4/20/668b68ba-0250-4fcd-a8a0-49bbec71f3591618915179312-Kook-N-Keech-Men-Tshirts-971618915178743-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/12956244/2021/4/20/668b68ba-0250-4fcd-a8a0-49bbec71f3591618915179312-Kook-N-Keech-Men-Tshirts-971618915178743-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/12956244/2021/4/20/668b68ba-0250-4fcd-a8a0-49bbec71f3591618915179312-Kook-N-Keech-Men-Tshirts-971618915178743-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/12956244/2021/4/20/668b68ba-0250-4fcd-a8a0-49bbec71f3591618915179312-Kook-N-Keech-Men-Tshirts-971618915178743-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/12956244/2021/4/20/668b68ba-0250-4fcd-a8a0-49bbec71f3591618915179312-Kook-N-Keech-Men-Tshirts-971618915178743-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/12956244/2021/4/20/668b68ba-0250-4fcd-a8a0-49bbec71f3591618915179312-Kook-N-Keech-Men-Tshirts-971618915178743-1.jpg 2.8x"
Puma,Men Graphic Printed T-shirt,Puma Men White & Grey Graphic Printed Slim Fit T-shirt,Rs. 719,Rs. 1499,(52% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15684136/2022/11/6/72bb2a1b-29d3-44a2-aec5-52af26fd13181667717452056PumaMenWhiteGreyGraphicPrintedT-shirt1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/15684136/2022/11/6/72bb2a1b-29d3-44a2-aec5-52af26fd13181667717452056PumaMenWhiteGreyGraphicPrintedT-shirt1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/15684136/2022/11/6/72bb2a1b-29d3-44a2-aec5-52af26fd13181667717452056PumaMenWhiteGreyGraphicPrintedT-shirt1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/15684136/2022/11/6/72bb2a1b-29d3-44a2-aec5-52af26fd13181667717452056PumaMenWhiteGreyGraphicPrintedT-shirt1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/15684136/2022/11/6/72bb2a1b-29d3-44a2-aec5-52af26fd13181667717452056PumaMenWhiteGreyGraphicPrintedT-shirt1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/15684136/2022/11/6/72bb2a1b-29d3-44a2-aec5-52af26fd13181667717452056PumaMenWhiteGreyGraphicPrintedT-shirt1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/15684136/2022/11/6/72bb2a1b-29d3-44a2-aec5-52af26fd13181667717452056PumaMenWhiteGreyGraphicPrintedT-shirt1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/15684136/2022/11/6/72bb2a1b-29d3-44a2-aec5-52af26fd13181667717452056PumaMenWhiteGreyGraphicPrintedT-shirt1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/15684136/2022/11/6/72bb2a1b-29d3-44a2-aec5-52af26fd13181667717452056PumaMenWhiteGreyGraphicPrintedT-shirt1.jpg 2.8x"
Roadster,Solid Round Neck Pure Cotton T-shirt,Roadster Men Maroon Solid Round Neck Pure Cotton T-shirt,Rs. 209,Rs. 599,(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11126628/2020/7/29/01a3c576-6f77-4391-ba43-7292558d0b5c1596008403741-Roadster-Men-Red-Solid-Round-Neck-T-shirt-7931596008401138-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/11126628/2020/7/29/01a3c576-6f77-4391-ba43-7292558d0b5c1596008403741-Roadster-Men-Red-Solid-Round-Neck-T-shirt-7931596008401138-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/11126628/2020/7/29/01a3c576-6f77-4391-ba43-7292558d0b5c1596008403741-Roadster-Men-Red-Solid-Round-Neck-T-shirt-7931596008401138-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/11126628/2020/7/29/01a3c576-6f77-4391-ba43-7292558d0b5c1596008403741-Roadster-Men-Red-Solid-Round-Neck-T-shirt-7931596008401138-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/11126628/2020/7/29/01a3c576-6f77-4391-ba43-7292558d0b5c1596008403741-Roadster-Men-Red-Solid-Round-Neck-T-shirt-7931596008401138-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/11126628/2020/7/29/01a3c576-6f77-4391-ba43-7292558d0b5c1596008403741-Roadster-Men-Red-Solid-Round-Neck-T-shirt-7931596008401138-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/11126628/2020/7/29/01a3c576-6f77-4391-ba43-7292558d0b5c1596008403741-Roadster-Men-Red-Solid-Round-Neck-T-shirt-7931596008401138-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/11126628/2020/7/29/01a3c576-6f77-4391-ba43-7292558d0b5c1596008403741-Roadster-Men-Red-Solid-Round-Neck-T-shirt-7931596008401138-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/11126628/2020/7/29/01a3c576-6f77-4391-ba43-7292558d0b5c1596008403741-Roadster-Men-Red-Solid-Round-Neck-T-shirt-7931596008401138-1.jpg 2.8x"
H&M,Regular Fit Printed T-shirt,H&M Men Pure Cotton Regular Fit Printed T-shirt,-,-,-,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27297788/2024/1/31/7356b785-249e-431a-b49b-336255ba83471706697212716RegularFitPrintedT-shirt1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/27297788/2024/1/31/7356b785-249e-431a-b49b-336255ba83471706697212716RegularFitPrintedT-shirt1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/27297788/2024/1/31/7356b785-249e-431a-b49b-336255ba83471706697212716RegularFitPrintedT-shirt1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/27297788/2024/1/31/7356b785-249e-431a-b49b-336255ba83471706697212716RegularFitPrintedT-shirt1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/27297788/2024/1/31/7356b785-249e-431a-b49b-336255ba83471706697212716RegularFitPrintedT-shirt1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/27297788/2024/1/31/7356b785-249e-431a-b49b-336255ba83471706697212716RegularFitPrintedT-shirt1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/27297788/2024/1/31/7356b785-249e-431a-b49b-336255ba83471706697212716RegularFitPrintedT-shirt1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/27297788/2024/1/31/7356b785-249e-431a-b49b-336255ba83471706697212716RegularFitPrintedT-shirt1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/27297788/2024/1/31/7356b785-249e-431a-b49b-336255ba83471706697212716RegularFitPrintedT-shirt1.jpg 2.8x"
Elibolz,Cotton Oversized T-shirt,Elibolz Graphic Printed Cotton Oversized T-shirt,Rs. 554,Rs. 1299,(Rs. 745 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25744596/2023/11/3/bc8d5a97-38ef-4ee1-b14b-5b479836a0c01699005447177ElibolzMenBlackPrintedV-NeckPocketsT-shirt1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/25744596/2023/11/3/bc8d5a97-38ef-4ee1-b14b-5b479836a0c01699005447177ElibolzMenBlackPrintedV-NeckPocketsT-shirt1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/25744596/2023/11/3/bc8d5a97-38ef-4ee1-b14b-5b479836a0c01699005447177ElibolzMenBlackPrintedV-NeckPocketsT-shirt1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/25744596/2023/11/3/bc8d5a97-38ef-4ee1-b14b-5b479836a0c01699005447177ElibolzMenBlackPrintedV-NeckPocketsT-shirt1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/25744596/2023/11/3/bc8d5a97-38ef-4ee1-b14b-5b479836a0c01699005447177ElibolzMenBlackPrintedV-NeckPocketsT-shirt1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/25744596/2023/11/3/bc8d5a97-38ef-4ee1-b14b-5b479836a0c01699005447177ElibolzMenBlackPrintedV-NeckPocketsT-shirt1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/25744596/2023/11/3/bc8d5a97-38ef-4ee1-b14b-5b479836a0c01699005447177ElibolzMenBlackPrintedV-NeckPocketsT-shirt1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/25744596/2023/11/3/bc8d5a97-38ef-4ee1-b14b-5b479836a0c01699005447177ElibolzMenBlackPrintedV-NeckPocketsT-shirt1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/25744596/2023/11/3/bc8d5a97-38ef-4ee1-b14b-5b479836a0c01699005447177ElibolzMenBlackPrintedV-NeckPocketsT-shirt1.jpg 2.8x"
Roadster,Printed Round Neck Pure Cotton T-shirt,Roadster Men White  Blue Printed Round Neck Pure Cotton T-shirt,Rs. 279,Rs. 799,(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12003902/2020/7/27/d890afe0-cff4-4de8-8b83-3afea9f6fdb11595844856992-Roadster-Men-White-Printed-Round-Neck-T-shirt-28159584485559-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/12003902/2020/7/27/d890afe0-cff4-4de8-8b83-3afea9f6fdb11595844856992-Roadster-Men-White-Printed-Round-Neck-T-shirt-28159584485559-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/12003902/2020/7/27/d890afe0-cff4-4de8-8b83-3afea9f6fdb11595844856992-Roadster-Men-White-Printed-Round-Neck-T-shirt-28159584485559-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/12003902/2020/7/27/d890afe0-cff4-4de8-8b83-3afea9f6fdb11595844856992-Roadster-Men-White-Printed-Round-Neck-T-shirt-28159584485559-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/12003902/2020/7/27/d890afe0-cff4-4de8-8b83-3afea9f6fdb11595844856992-Roadster-Men-White-Printed-Round-Neck-T-shirt-28159584485559-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/12003902/2020/7/27/d890afe0-cff4-4de8-8b83-3afea9f6fdb11595844856992-Roadster-Men-White-Printed-Round-Neck-T-shirt-28159584485559-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/12003902/2020/7/27/d890afe0-cff4-4de8-8b83-3afea9f6fdb11595844856992-Roadster-Men-White-Printed-Round-Neck-T-shirt-28159584485559-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/12003902/2020/7/27/d890afe0-cff4-4de8-8b83-3afea9f6fdb11595844856992-Roadster-Men-White-Printed-Round-Neck-T-shirt-28159584485559-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/12003902/2020/7/27/d890afe0-cff4-4de8-8b83-3afea9f6fdb11595844856992-Roadster-Men-White-Printed-Round-Neck-T-shirt-28159584485559-1.jpg 2.8x"
WROGN,Men Polo Collar Slim Fit T-shirt,WROGN Men Blue Solid Polo Collar Slim Fit T-shirt,Rs. 674,Rs. 1499,(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15069578/2022/3/29/7da8003e-0834-43c3-bd5b-840e54507f4e1648555832519-WROGN-Men-Blue-Solid-Polo-Collar-Slim-Fit-T-shirt-8311648555-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/15069578/2022/3/29/7da8003e-0834-43c3-bd5b-840e54507f4e1648555832519-WROGN-Men-Blue-Solid-Polo-Collar-Slim-Fit-T-shirt-8311648555-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/15069578/2022/3/29/7da8003e-0834-43c3-bd5b-840e54507f4e1648555832519-WROGN-Men-Blue-Solid-Polo-Collar-Slim-Fit-T-shirt-8311648555-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/15069578/2022/3/29/7da8003e-0834-43c3-bd5b-840e54507f4e1648555832519-WROGN-Men-Blue-Solid-Polo-Collar-Slim-Fit-T-shirt-8311648555-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/15069578/2022/3/29/7da8003e-0834-43c3-bd5b-840e54507f4e1648555832519-WROGN-Men-Blue-Solid-Polo-Collar-Slim-Fit-T-shirt-8311648555-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/15069578/2022/3/29/7da8003e-0834-43c3-bd5b-840e54507f4e1648555832519-WROGN-Men-Blue-Solid-Polo-Collar-Slim-Fit-T-shirt-8311648555-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/15069578/2022/3/29/7da8003e-0834-43c3-bd5b-840e54507f4e1648555832519-WROGN-Men-Blue-Solid-Polo-Collar-Slim-Fit-T-shirt-8311648555-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/15069578/2022/3/29/7da8003e-0834-43c3-bd5b-840e54507f4e1648555832519-WROGN-Men-Blue-Solid-Polo-Collar-Slim-Fit-T-shirt-8311648555-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/15069578/2022/3/29/7da8003e-0834-43c3-bd5b-840e54507f4e1648555832519-WROGN-Men-Blue-Solid-Polo-Collar-Slim-Fit-T-shirt-8311648555-1.jpg 2.8x"
Maniac,Colourblocked Cotton T-Shirt,Maniac Colourblocked Raglan Sleeves Pure Cotton T-Shirt,Rs. 547,Rs. 1659,(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24426576/2023/8/10/d19e726d-b2b9-442d-bdf6-a82a7778f0bf1691607589917ManiacMenWhiteTypographyDrop-ShoulderSleevesT-shirt1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/24426576/2023/8/10/d19e726d-b2b9-442d-bdf6-a82a7778f0bf1691607589917ManiacMenWhiteTypographyDrop-ShoulderSleevesT-shirt1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/24426576/2023/8/10/d19e726d-b2b9-442d-bdf6-a82a7778f0bf1691607589917ManiacMenWhiteTypographyDrop-ShoulderSleevesT-shirt1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/24426576/2023/8/10/d19e726d-b2b9-442d-bdf6-a82a7778f0bf1691607589917ManiacMenWhiteTypographyDrop-ShoulderSleevesT-shirt1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/24426576/2023/8/10/d19e726d-b2b9-442d-bdf6-a82a7778f0bf1691607589917ManiacMenWhiteTypographyDrop-ShoulderSleevesT-shirt1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/24426576/2023/8/10/d19e726d-b2b9-442d-bdf6-a82a7778f0bf1691607589917ManiacMenWhiteTypographyDrop-ShoulderSleevesT-shirt1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/24426576/2023/8/10/d19e726d-b2b9-442d-bdf6-a82a7778f0bf1691607589917ManiacMenWhiteTypographyDrop-ShoulderSleevesT-shirt1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/24426576/2023/8/10/d19e726d-b2b9-442d-bdf6-a82a7778f0bf1691607589917ManiacMenWhiteTypographyDrop-ShoulderSleevesT-shirt1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/24426576/2023/8/10/d19e726d-b2b9-442d-bdf6-a82a7778f0bf1691607589917ManiacMenWhiteTypographyDrop-ShoulderSleevesT-shirt1.jpg 2.8x"
